name,source_schema,source_table,snapshot_target_schema,snapshot_target_name,source_filter,test_target_schema,test_target_table,primary_key,validation_filter,is_input
SAP_PA0105_PRE,edw_prd,SAP_PA0105_PRE,data_harness_empl_protected,SAP_PA0105_PRE,1=1,qa_empl_protected,raw_SAP_PA0105_PRE,MANDT|PERNR|SUBTY|OBJPS|SPRPS|ENDDA|BEGDA|SEQNR,,
SAP_PA2006_HIST,edw_prd,SAP_PA2006_HIST,data_harness_empl_protected,SAP_PA2006_HIST,1=1,qa_empl_protected,legacy_SAP_PA2006_HIST,PERNR|SUBTY|OBJPS|SPRPS|ENDDA|BEGDA|SEQNR,,
SAP_PA2006_PRE,edw_prd,SAP_PA2006_PRE,data_harness_empl_protected,SAP_PA2006_PRE,1=1,qa_empl_protected,raw_SAP_PA2006_PRE,MANDT|PERNR|SUBTY|OBJPS|SPRPS|ENDDA|BEGDA|SEQNR,,
SAP_PA9001_HIST,edw_prd,SAP_PA9001_HIST,data_harness_empl_protected,SAP_PA9001_HIST,1=1,qa_empl_protected,legacy_SAP_PA9001_HIST,PERNR|SUBTY|OBJPS|SPRPS|ENDDA|BEGDA|SEQNR,,
SAP_PA9001_PRE,edw_prd,SAP_PA9001_PRE,data_harness_empl_protected,SAP_PA9001_PRE,1=1,qa_empl_protected,raw_SAP_PA9001_PRE,MANDT|PERNR|SUBTY|OBJPS|SPRPS|ENDDA|BEGDA|SEQNR,,
SAP_PAY_GRADE_LEVEL,edw_prd,SAP_PAY_GRADE_LEVEL,nzmigration,SAP_PAY_GRADE_LEVEL,1=1,qa_legacy,SAP_PAY_GRADE_LEVEL,COUNTRY_GROUP|PAY_GRADE_TYPE|PAY_GRADE_AREA|PAY_GRADE|PAY_GRADE_LEVEL|PAY_LEVEL_END_DT,,
SAP_POSITION_HIST,edw_prd,SAP_POSITION_HIST,nzmigration,SAP_POSITION_HIST,1=1,qa_legacy,SAP_POSITION_HIST,POSITION_ID|BEGDA|ENDDA,,
SAP_T001P_PRE,edw_prd,SAP_T001P_PRE,nzmigration,SAP_T001P_PRE,1=1,qa_raw,SAP_T001P_PRE,MANDT|WERKS|BTRTL,,
SAP_T500L_PRE,edw_prd,SAP_T500L_PRE,nzmigration,SAP_T500L_PRE,1=1,qa_raw,SAP_T500L_PRE,MOLGA,,
SAP_T500P_PRE,edw_prd,SAP_T500P_PRE,nzmigration,SAP_T500P_PRE,1=1,qa_raw,SAP_T500P_PRE,MANDT|PERSA,,
