wf_name,table_name,nz_database,dl_database,pii,target_schema
wf_Prism_Daily,SALES_TRANS_COMPONENT,EDW_PRD,dev_legacy,NO,
wf_Prism_Daily,SALES_TRANS_SKU,EDW_PRD,dev_legacy,NO,
wf_Prism_Daily,SDS_ACCOUNT,SDS_PRD,dev_cust_sensitive,YES,legacy
wf_Prism_Daily,SDS_ACCOUNT_HIST,SDS_PRD,dev_legacy,NO,
wf_Prism_Daily,SDS_APPT_BLOCKED_EXCEPTION_HIST,SDS_PRD,dev_legacy,NO,
wf_Prism_Daily,SDS_APPT_CHECKED_IN_EXCEPTION_HIST,SDS_PRD,dev_legacy,NO,
wf_Prism_Daily,SDS_APPT_STATUS,SDS_PRD,dev_legacy,NO,
wf_Prism_Daily,SDS_ASSET,SDS_PRD,dev_cust_sensitive,YES,legacy
wf_Prism_Daily,SDS_ASSET_HIST,SDS_PRD,dev_legacy,NO,
wf_Prism_Daily,SDS_ASSIGNED_RESOURCE,SDS_PRD,dev_legacy,NO,
wf_Prism_Daily,SDS_BUNDLE,SDS_PRD,dev_legacy,NO,
wf_Prism_Daily,SDS_BUNDLE_ADD_ON,SDS_PRD,dev_legacy,NO,
wf_Prism_Daily,SDS_BUNDLE_CONFIG,SDS_PRD,dev_legacy,NO,
wf_Prism_Daily,SDS_CANCEL_REASON,SDS_PRD,dev_legacy,NO,
wf_Prism_Daily,SDS_CLASS_SESSION,SDS_PRD,dev_legacy,NO,
wf_Prism_Daily,SDS_CUSTOMER_PET,SDS_PRD,dev_legacy,NO,
wf_Prism_Daily,SDS_CUSTOMER_RPT,EDW_PRD,dev_cust_sensitive,YES,legacy
wf_Prism_Daily,SDS_DAILY_ACTIVITY,SDS_PRD,dev_legacy,NO,
wf_Prism_Daily,SDS_EMPLOYEE,SDS_PRD,dev_legacy,NO,
wf_Prism_Daily,SDS_EMPLOYEE_DAY,SDS_PRD,dev_legacy,NO,
wf_Prism_Daily,SDS_EMPLOYEE_GROUP,SDS_PRD,dev_legacy,NO,
wf_Prism_Daily,SDS_EMPLOYEE_GROUP_SERVICE_TYPES,SDS_PRD,dev_legacy,NO,
wf_Prism_Daily,SDS_EMPLOYEE_SCHEDULE_RPT,EDW_PRD,dev_legacy,NO,
wf_Prism_Daily,SDS_EXCEPTION_HOURS,SDS_PRD,dev_legacy,NO,
wf_Prism_Daily,SDS_INVOICE,SDS_PRD,dev_cust_sensitive,YES,legacy
wf_Prism_Daily,SDS_INVOICE_HIST,SDS_PRD,dev_legacy,NO,
wf_Prism_Daily,SDS_NOTE,SDS_PRD,dev_legacy,NO,
wf_Prism_Daily,SDS_NOTE_HIST,SDS_PRD,dev_legacy,NO,
wf_Prism_Daily,SDS_OPERATING_HOURS,SDS_PRD,dev_legacy,NO,
wf_Prism_Daily,SDS_ORDER,SDS_PRD,dev_legacy,NO,
wf_Prism_Daily,SDS_ORDER_HIST,SDS_PRD,dev_legacy,NO,
wf_Prism_Daily,SDS_ORDER_ITEM,SDS_PRD,dev_cust_sensitive,YES,legacy
wf_Prism_Daily,SDS_ORDER_ITEM_DATETIME_RPT,EDW_PRD,dev_legacy,NO,
wf_Prism_Daily,SDS_ORDER_ITEM_HIST,SDS_PRD,dev_legacy,NO,
wf_Prism_Daily,SDS_ORDER_ITEM_RPT,EDW_PRD,dev_cust_sensitive,YES,legacy
wf_Prism_Daily,SDS_ORDER_PRODUCT_SPECIAL,SDS_PRD,dev_legacy,NO,
wf_Prism_Daily,SDS_ORDER_PRODUCT_SPECIAL_HIST,SDS_PRD,dev_legacy,NO,
wf_Prism_Daily,SDS_ORDER_STATUS,SDS_PRD,dev_legacy,NO,
wf_Prism_Daily,SDS_OUTGOING_MESSAGE,SDS_PRD,dev_legacy,NO,
wf_Prism_Daily,SDS_OVERRIDE_REASON,SDS_PRD,dev_legacy,NO,
wf_Prism_Daily,SDS_PACKAGE_PRODUCT,SDS_PRD,dev_legacy,NO,
wf_Prism_Daily,SDS_PAYMENT_METHOD,SDS_PRD,dev_legacy,NO,
wf_Prism_Daily,SDS_PET_VACCINATION,SDS_PRD,dev_legacy,NO,
wf_Prism_Daily,SDS_PICK_LIST_VALUE_INFO,SDS_PRD,dev_legacy,NO,
wf_Prism_Daily,SDS_PRICEBOOK,SDS_PRD,dev_legacy,NO,
wf_Prism_Daily,SDS_PRICEBOOK_ENTRY,SDS_PRD,dev_legacy,NO,
wf_Prism_Daily,SDS_PRICEBOOK_HIST,SDS_PRD,dev_legacy,NO,
wf_Prism_Daily,SDS_PRODUCT,SDS_PRD,dev_legacy,NO,
wf_Prism_Daily,SDS_PRODUCT_BUNDLE_CONFIG,SDS_PRD,dev_legacy,NO,
wf_Prism_Daily,SDS_PRODUCT_HIST,SDS_PRD,dev_legacy,NO,
wf_Prism_Daily,SDS_PRODUCT_SPECIAL,SDS_PRD,dev_legacy,NO,
wf_Prism_Daily,SDS_PROFILE,SDS_PRD,dev_legacy,NO,
wf_Prism_Daily,SDS_RECORD_TYPE,SDS_PRD,dev_legacy,NO,
wf_Prism_Daily,SDS_REDEMPTION,SDS_PRD,dev_legacy,NO,
wf_Prism_Daily,SDS_RESOURCE_ABSENCE,SDS_PRD,dev_legacy,NO,
wf_Prism_Daily,SDS_RESOURCE_ABSENCE_HIST,SDS_PRD,dev_legacy,NO,
wf_Prism_Daily,SDS_RESOURCE_PREFERENCE,SDS_PRD,dev_legacy,NO,
wf_Prism_Daily,SDS_RESOURCE_PREFERENCE_HIST,SDS_PRD,dev_legacy,NO,
wf_Prism_Daily,SDS_SCHEDULE_TEMPLATE,SDS_PRD,dev_legacy,NO,
wf_Prism_Daily,SDS_SERVICE_APPOINTMENT,SDS_PRD,dev_cust_sensitive,YES,legacy
wf_Prism_Daily,SDS_SERVICE_APPOINTMENT_HIST,SDS_PRD,dev_legacy,NO,
wf_Prism_Daily,SDS_SERVICE_CATEGORY,SDS_PRD,dev_legacy,NO,
wf_Prism_Daily,SDS_SERVICE_CONTRACT,SDS_PRD,dev_legacy,NO,
wf_Prism_Daily,SDS_SERVICE_CONTRACT_COMPONENT,SDS_PRD,dev_legacy,NO,
wf_Prism_Daily,SDS_SERVICE_LOCATION_SPECIAL,SDS_PRD,dev_legacy,NO,
wf_Prism_Daily,SDS_SERVICE_RESOURCE,SDS_PRD,dev_legacy,NO,
wf_Prism_Daily,SDS_SERVICE_RESOURCE_HIST,SDS_PRD,dev_legacy,NO,
wf_Prism_Daily,SDS_SERVICE_RESOURCE_SKILL,SDS_PRD,dev_legacy,NO,
wf_Prism_Daily,SDS_SERVICE_RESOURCE_SKILL_HIST,SDS_PRD,dev_legacy,NO,
wf_Prism_Daily,SDS_SERVICE_SUB_CATEGORY,SDS_PRD,dev_legacy,NO,
wf_Prism_Daily,SDS_SERVICE_TERRITORY,SDS_PRD,dev_legacy,NO,
wf_Prism_Daily,SDS_SERVICE_TERRITORY_HIST,SDS_PRD,dev_legacy,NO,
wf_Prism_Daily,SDS_SERVICE_TERRITORY_MEMBER,SDS_PRD,dev_legacy,NO,
wf_Prism_Daily,SDS_SERVICE_TERRITORY_MEMBER_HIST,SDS_PRD,dev_legacy,NO,
wf_Prism_Daily,SDS_SERVICE_TEXT,SDS_PRD,dev_legacy,NO,
wf_Prism_Daily,SDS_SERVICE_TYPE_GROUP,SDS_PRD,dev_legacy,NO,
wf_Prism_Daily,SDS_SERVICE_TYPE_GROUP_SPECIAL,SDS_PRD,dev_legacy,NO,
wf_Prism_Daily,SDS_SERVICE_TYPE_PRODUCT,SDS_PRD,dev_legacy,NO,
wf_Prism_Daily,SDS_SKILL,SDS_PRD,dev_legacy,NO,
