wf_name,table_name,nz_database,dl_database,pii,target_schema,table name in delta lake
wf_Prism_Daily,SDS_PRODUCT_BUNDLE_CONFIG,SDS_PRD,dev_legacy,NO,,SDS_PRODUCT_BUNDLE_CONFIG
wf_Prism_Daily,SDS_PRODUCT_HIST,SDS_PRD,dev_legacy,NO,,SDS_PRODUCT_HIST
wf_Prism_Daily,SDS_PRODUCT_SPECIAL,SDS_PRD,dev_legacy,NO,,SDS_PRODUCT_SPECIAL
wf_Prism_Daily,SDS_PROFILE,SDS_PRD,dev_legacy,NO,,SDS_PROFILE
wf_Prism_Daily,SDS_RECORD_TYPE,SDS_PRD,dev_legacy,NO,,SDS_RECORD_TYPE
wf_Prism_Daily,SDS_REDEMPTION,SDS_PRD,dev_legacy,NO,,SDS_REDEMPTION
wf_Prism_Daily,SDS_RESOURCE_ABSENCE,SDS_PRD,dev_legacy,NO,,SDS_RESOURCE_ABSENCE
wf_Prism_Daily,SDS_RESOURCE_ABSENCE_HIST,SDS_PRD,dev_legacy,NO,,SDS_RESOURCE_ABSENCE_HIST
wf_Prism_Daily,SDS_RESOURCE_PREFERENCE,SDS_PRD,dev_legacy,NO,,SDS_RESOURCE_PREFERENCE
wf_Prism_Daily,SDS_RESOURCE_PREFERENCE_HIST,SDS_PRD,dev_legacy,NO,,SDS_RESOURCE_PREFERENCE_HIST
wf_Prism_Daily,SDS_SCHEDULE_TEMPLATE,SDS_PRD,dev_legacy,NO,,SDS_SCHEDULE_TEMPLATE
wf_Prism_Daily,SDS_SERVICE_APPOINTMENT,SDS_PRD,dev_cust_sensitive,YES,legacy,legacy_SDS_SERVICE_APPOINTMENT
wf_Prism_Daily,SDS_SERVICE_APPOINTMENT_HIST,SDS_PRD,dev_legacy,NO,,SDS_SERVICE_APPOINTMENT_HIST
wf_Prism_Daily,SDS_SERVICE_CATEGORY,SDS_PRD,dev_legacy,NO,,SDS_SERVICE_CATEGORY
wf_Prism_Daily,SDS_SERVICE_CONTRACT,SDS_PRD,dev_legacy,NO,,SDS_SERVICE_CONTRACT
wf_Prism_Daily,SDS_SERVICE_CONTRACT_COMPONENT,SDS_PRD,dev_legacy,NO,,SDS_SERVICE_CONTRACT_COMPONENT
wf_Prism_Daily,SDS_SERVICE_LOCATION_SPECIAL,SDS_PRD,dev_legacy,NO,,SDS_SERVICE_LOCATION_SPECIAL
wf_Prism_Daily,SDS_SERVICE_RESOURCE,SDS_PRD,dev_legacy,NO,,SDS_SERVICE_RESOURCE
wf_Prism_Daily,SDS_SERVICE_RESOURCE_HIST,SDS_PRD,dev_legacy,NO,,SDS_SERVICE_RESOURCE_HIST
wf_Prism_Daily,SDS_SERVICE_RESOURCE_SKILL,SDS_PRD,dev_legacy,NO,,SDS_SERVICE_RESOURCE_SKILL
wf_Prism_Daily,SDS_SERVICE_RESOURCE_SKILL_HIST,SDS_PRD,dev_legacy,NO,,SDS_SERVICE_RESOURCE_SKILL_HIST
wf_Prism_Daily,SDS_SERVICE_SUB_CATEGORY,SDS_PRD,dev_legacy,NO,,SDS_SERVICE_SUB_CATEGORY
wf_Prism_Daily,SDS_SERVICE_TERRITORY,SDS_PRD,dev_legacy,NO,,SDS_SERVICE_TERRITORY
wf_Prism_Daily,SDS_SERVICE_TERRITORY_HIST,SDS_PRD,dev_legacy,NO,,SDS_SERVICE_TERRITORY_HIST
wf_Prism_Daily,SDS_SERVICE_TERRITORY_MEMBER,SDS_PRD,dev_legacy,NO,,SDS_SERVICE_TERRITORY_MEMBER
wf_Prism_Daily,SDS_SERVICE_TERRITORY_MEMBER_HIST,SDS_PRD,dev_legacy,NO,,SDS_SERVICE_TERRITORY_MEMBER_HIST
wf_Prism_Daily,SDS_SERVICE_TEXT,SDS_PRD,dev_legacy,NO,,SDS_SERVICE_TEXT
wf_Prism_Daily,SDS_SERVICE_TYPE_GROUP,SDS_PRD,dev_legacy,NO,,SDS_SERVICE_TYPE_GROUP
wf_Prism_Daily,SDS_SERVICE_TYPE_GROUP_SPECIAL,SDS_PRD,dev_legacy,NO,,SDS_SERVICE_TYPE_GROUP_SPECIAL
wf_Prism_Daily,SDS_SERVICE_TYPE_PRODUCT,SDS_PRD,dev_legacy,NO,,SDS_SERVICE_TYPE_PRODUCT
wf_Prism_Daily,SDS_SKILL,SDS_PRD,dev_legacy,NO,,SDS_SKILL
wf_Prism_Daily,SDS_SKILL_REQUIREMENT,SDS_PRD,dev_legacy,NO,,SDS_SKILL_REQUIREMENT
wf_Prism_Daily,SDS_SKILL_REQUIREMENT_HIST,SDS_PRD,dev_legacy,NO,,SDS_SKILL_REQUIREMENT_HIST
wf_Prism_Daily,SDS_SPECIAL,SDS_PRD,dev_legacy,NO,,SDS_SPECIAL
wf_Prism_Daily,SDS_SPECIAL_HIST,SDS_PRD,dev_legacy,NO,,SDS_SPECIAL_HIST
wf_Prism_Daily,SDS_TIMESLOT,SDS_PRD,dev_legacy,NO,,SDS_TIMESLOT
wf_Prism_Daily,SDS_USER,SDS_PRD,dev_cust_sensitive,YES,legacy,legacy_SDS_USER
wf_Prism_Daily,SDS_USER_TERRITORY,SDS_PRD,dev_legacy,NO,,SDS_USER_TERRITORY
wf_Prism_Daily,SDS_WORK_ORDER,SDS_PRD,dev_cust_sensitive,YES,legacy,legacy_SDS_WORK_ORDER
wf_Prism_Daily,SDS_WORK_ORDER_DATETIME_RPT,EDW_PRD,dev_legacy,NO,,SDS_WORK_ORDER_DATETIME_RPT
wf_Prism_Daily,SDS_WORK_ORDER_HIST,SDS_PRD,dev_legacy,NO,,SDS_WORK_ORDER_HIST
wf_Prism_Daily,SDS_WORK_ORDER_LINE_ITEM,SDS_PRD,dev_cust_sensitive,YES,legacy,legacy_SDS_WORK_ORDER_LINE_ITEM
wf_Prism_Daily,SDS_WORK_ORDER_LINE_ITEM_HIST,SDS_PRD,dev_legacy,NO,,SDS_WORK_ORDER_LINE_ITEM_HIST
wf_Prism_Daily,SDS_WORK_ORDER_RPT,EDW_PRD,dev_legacy,NO,,SDS_WORK_ORDER_RPT
wf_Prism_Daily,SDS_WORK_ORDER_STATUS,SDS_PRD,dev_legacy,NO,,SDS_WORK_ORDER_STATUS
wf_Prism_Daily,SDS_WORK_TYPE,SDS_PRD,dev_legacy,NO,,SDS_WORK_TYPE
wf_Prism_Daily,SDS_WORK_TYPE_HIST,SDS_PRD,dev_legacy,NO,,SDS_WORK_TYPE_HIST
wf_Prism_Daily,SVCS_APPT_SERVICE_COMMISSION,EDW_PRD,dev_legacy,NO,,SVCS_APPT_SERVICE_COMMISSION
wf_Prism_Daily,SVCS_APPT_STATUS,EDW_PRD,dev_legacy,NO,,SVCS_APPT_STATUS
wf_Prism_Daily,SVCS_APPT_STATUS_XREF,EDW_PRD,dev_legacy,NO,,SVCS_APPT_STATUS_XREF
wf_Prism_Daily,SVCS_CANCEL_REASON,EDW_PRD,dev_legacy,NO,,SVCS_CANCEL_REASON
wf_Prism_Daily,SVCS_CANCEL_REASON_XREF,EDW_PRD,dev_legacy,NO,,SVCS_CANCEL_REASON_XREF
wf_Prism_Daily,SVCS_CUSTOMER_FIRST_APPT,EDW_PRD,dev_legacy,NO,,SVCS_CUSTOMER_FIRST_APPT
wf_Prism_Daily,SVCS_CUSTOMER_XREF,EDW_PRD,dev_legacy,NO,,SVCS_CUSTOMER_XREF
wf_Prism_Daily,SVCS_EMPLOYEE_GROUP,EDW_PRD,dev_legacy,NO,,SVCS_EMPLOYEE_GROUP
wf_Prism_Daily,SVCS_EMPLOYEE_GROUP_XREF,EDW_PRD,dev_legacy,NO,,SVCS_EMPLOYEE_GROUP_XREF
wf_Prism_Daily,SVCS_INFA_LOAD_CTRL,EDW_PRD,dev_legacy,NO,,SVCS_INFA_LOAD_CTRL
wf_Prism_Daily,SVCS_ORDER_STATUS,EDW_PRD,dev_legacy,NO,,SVCS_ORDER_STATUS
wf_Prism_Daily,SVCS_ORDER_STATUS_XREF,EDW_PRD,dev_legacy,NO,,SVCS_ORDER_STATUS_XREF
wf_Prism_Daily,SVCS_OVERRIDE_REASON,EDW_PRD,dev_legacy,NO,,SVCS_OVERRIDE_REASON
wf_Prism_Daily,SVCS_OVERRIDE_REASON_XREF,EDW_PRD,dev_legacy,NO,,SVCS_OVERRIDE_REASON_XREF
wf_Prism_Daily,SVCS_PAYMENT_METHOD,EDW_PRD,dev_legacy,NO,,SVCS_PAYMENT_METHOD
wf_Prism_Daily,SVCS_PAYMENT_METHOD_XREF,EDW_PRD,dev_legacy,NO,,SVCS_PAYMENT_METHOD_XREF
wf_Prism_Daily,SVCS_PET_FIRST_APPT,EDW_PRD,dev_legacy,NO,,SVCS_PET_FIRST_APPT
wf_Prism_Daily,SVCS_PET_XREF,EDW_PRD,dev_legacy,NO,,SVCS_PET_XREF
wf_Prism_Daily,SVCS_SERVICE_CATEGORY,EDW_PRD,dev_legacy,NO,,SVCS_SERVICE_CATEGORY
wf_Prism_Daily,SVCS_SERVICE_CATEGORY_XREF,EDW_PRD,dev_legacy,NO,,SVCS_SERVICE_CATEGORY_XREF
wf_Prism_Daily,SVCS_SERVICE_SUB_CATEGORY,EDW_PRD,dev_legacy,NO,,SVCS_SERVICE_SUB_CATEGORY
wf_Prism_Daily,SVCS_SERVICE_SUB_CATEGORY_XREF,EDW_PRD,dev_legacy,NO,,SVCS_SERVICE_SUB_CATEGORY_XREF
