#,SUBJECT_AREA,WORKFLOW_NAME,other_workflows,Target Schema,Workflow Base Target Table,DL  Schema
922,INT_PETM_Apps,wf_p4p_associate_summary,wf_p4p_associate_summary; wf_P4P_Empl_LM_Day_Every_4_Hrs,legacy,P4P_EMPL_LM_DAY,
923,INT_PETM_Apps,wf_p4p_associate_summary,,legacy,P4P_EMPLOYEE,
924,INT_PETM_Apps,wf_p4p_associate_summary,,legacy,P4P_JOB_FUNCTION,
925,INT_PETM_Apps,wf_p4p_associate_summary,,legacy,P4P_LEARNING_GROUP,
926,INT_PETM_Apps,wf_p4p_associate_summary,,legacy,P4P_PERIOD,
928,BA_HCM,wf_payroll_calendar,,legacy,PS_PAYROLL_CALENDAR,
929,BA_HCM,wf_payroll_weekly,,legacy,EARNINGS_ID,
930,BA_HCM,wf_payroll_weekly,,legacy,EMPL_EARNINGS_WK,
931,BA_HCM,wf_payroll_weekly,,legacy,EMPL_PAYCHECK_HIST,
932,BA_HCM,wf_payroll_weekly,,legacy,EMPL_PAYCHECK_RPT,empl_sensitive.empl_paycheck_rpt_lgcy
933,BA_HCM,wf_payroll_weekly,,legacy,EMPL_RATE3_WAGE_HIST,
935,BA_Financials,wf_pc_reporting_LoadNZ_Weekly,,legacy,PC_CARD_ACCOUNT,
936,BA_Financials,wf_pc_reporting_LoadNZ_Weekly,,legacy,PC_CARD_REQUEST,
937,STX_Invoice,wf_pcard_bofa_spending,,legacy,PC_MERCH_CATEGORY,
938,STX_Invoice,wf_pcard_bofa_spending,,legacy,PC_MERCHANT,
939,STX_Invoice,wf_pcard_bofa_spending,,legacy,PC_PURCHASE,
940,STX_Invoice,wf_pcard_bofa_spending,,legacy,PC_PURCHASE_DETAIL,
942,BA_Charities,wf_PCH_UDH_to_BI,,legacy,USR_PCH_EMERGENCY_RELIEF,
943,BA_Charities,wf_PCH_UDH_to_BI,,legacy,USR_PCH_ER_PAYMENT_TYPE,
944,BA_Charities,wf_PCH_UDH_to_BI,,legacy,USR_PCH_ER_RESCUE_TYPE,
945,BA_Charities,wf_PCH_UDH_to_BI,,legacy,USR_PCH_ER_SPECIES,
946,BA_Charities,wf_PCH_UDH_to_BI,,legacy,USR_PCH_EVENTS,
947,BA_Charities,wf_PCH_UDH_to_BI,,legacy,USR_PCH_MEDIA_IMPRESSIONS,
948,BA_Charities,wf_PCH_UDH_to_BI,,legacy,USR_PCH_RESCUE_WAGON,
949,BA_Charities,wf_PCH_UDH_to_BI,,legacy,USR_PCH_RW_ROUTE,
950,BA_Plan,wf_pe_event_plan_day,,legacy,PE_EVENT_PLAN_DAY,
951,BA_Dimension,wf_Pet_Attributes,,legacy,PET_ALLERGIES,
952,BA_Dimension,wf_Pet_Attributes,,legacy,PET_BREED,
953,BA_Dimension,wf_Pet_Attributes,,legacy,PET_CONDITION,
954,BA_Dimension,wf_Pet_Attributes,,legacy,PET_GENDER,
955,BA_Dimension,wf_Pet_Attributes,,legacy,PET_MEDICATION,
956,BA_Dimension,wf_Pet_Attributes,,legacy,PET_SPECIES,
957,BA_Services,wf_Pet_Moments,,legacy,PET_MOMENT_PROCESSING,
958,BA_Services,wf_Pet_Moments,,legacy,PET_MOMENT_PROCESSING_TYPE,
959,BA_Services,wf_Pet_Moments,,legacy,PET_MOMENT_REQUEST,
960,BA_Customer,wf_Pet_Reference_to_CIDB,,legacy,PETM_GENDER,
961,BA_Customer,wf_Pet_Reference_to_CIDB,,legacy,PETM_GENDER_XREF,
962,BA_Customer,wf_Pet_Reference_to_CIDB,,legacy,PETM_PET_BREED,
963,BA_Customer,wf_Pet_Reference_to_CIDB,,legacy,PETM_PET_BREED_XREF,
964,BA_Customer,wf_Pet_Reference_to_CIDB,,legacy,PETM_PET_COLOR,
965,BA_Customer,wf_Pet_Reference_to_CIDB,,legacy,PETM_PET_COLOR_XREF,
966,BA_Customer,wf_Pet_Reference_to_CIDB,,legacy,PETM_PET_CONDITION,
967,BA_Customer,wf_Pet_Reference_to_CIDB,,legacy,PETM_PET_CONDITION_XREF,
968,BA_Customer,wf_Pet_Reference_to_CIDB,,legacy,PETM_PET_MEDICATION,
969,BA_Customer,wf_Pet_Reference_to_CIDB,,legacy,PETM_PET_MEDICATION_XREF,
970,BA_Customer,wf_Pet_Reference_to_CIDB,,legacy,PETM_PET_SPECIES,
971,BA_Customer,wf_Pet_Reference_to_CIDB,,legacy,PETM_PET_SPECIES_XREF,
972,BA_Customer,wf_Pet_Reference_to_CIDB,,legacy,PETM_PET_SYSTEM,
973,BA_Customer,wf_Pet_Reference_to_CIDB,,legacy,PETM_PET_VACCINATION,
974,BA_Customer,wf_Pet_Reference_to_CIDB,,legacy,PETM_PET_VACCINATION_XREF,
975,BA_Customer,wf_Pet_Reference_to_CIDB,,legacy,PETM_RATING,
976,BA_Customer,wf_Pet_Reference_to_CIDB,,legacy,PETM_RATING_TYPE,
977,BA_Plan,wf_Plan_Act_Turnover,,legacy,PLAN_ACT_TURNOVER,
978,BA_Plan,wf_plan_cat,,legacy,PLAN_CAT_DAY,
979,BA_Merchandising,wf_Plan_PB_Brand_Wk,,legacy,PLAN_PB_BRAND_WK,
980,BA_Plan,wf_plan_store,,legacy,PLAN_STORE_DAY,
981,BA_Dimension,wf_POST_BATCH_VALIDATION,,legacy,BATCH_LOAD_AUD_LOG,
983,INT_Pricing,wf_Pricing_Hierarchy,,legacy,SAP_PRICING_CATEGORY,
984,INT_Pricing,wf_Pricing_Hierarchy,,legacy,SAP_PRICING_CLASS,
985,INT_Pricing,wf_Pricing_Hierarchy,,legacy,SAP_PRICING_DEPT,
986,INT_Pricing,wf_Pricing_Hierarchy,,legacy,SAP_PRICING_DIVISION,
987,INT_Pricing,wf_Pricing_Hierarchy,,legacy,SAP_PRICING_HIERARCHY_ERRORS,
988,INT_Pricing,wf_Pricing_Hierarchy,,legacy,UDH_ONLINE_ROLE_LKUP,
989,INT_Pricing,wf_Pricing_Hierarchy,,legacy,UDH_PRICING_ROLE_LKUP,
990,BA_HCM,wf_ps2_accrued_labor_weekly,,legacy,PS2_ACCRUED_LABOR_WK,
991,BA_HCM,wf_ps2_adjusted_labor_wk,,legacy,PS2_ADJUSTED_LABOR_WK,
993,INT_Labor_Mgmt,wf_ps2_associate_interface,,legacy,PS2_EMPL_PROFILE,
994,INT_Labor_Mgmt,wf_ps2_associate_interface,,legacy,PS2_EMPL_PROFILE_HIST,
995,BA_Labor_Mgmt,wf_PS2_Earned_Hrs,,legacy,PS2_EARNED_HRS,
996,BA_Labor_Mgmt,wf_PS2_Earned_Labor,,legacy,PS2_BLUE_LAW_STORE_LKUP,
997,BA_Labor_Mgmt,wf_PS2_Earned_Labor,,legacy,PS2_CORE_HOLIDAY_LKUP,
998,BA_Labor_Mgmt,wf_PS2_Earned_Labor,,legacy,PS2_EARNED_LABOR,
999,BA_Labor_Mgmt,wf_PS2_Earned_Labor,,legacy,PS2_HTL_EARNED,
1000,BA_Labor_Mgmt,wf_PS2_Earned_Labor,wf_PS2_Earned_Labor; wf_PS2_HTL_Forecast,legacy,PS2_HTL_ETL_CONTROL,
1001,BA_Labor_Mgmt,wf_PS2_Earned_Labor,wf_PS2_Earned_Labor; wf_PS2_HTL_Forecast,legacy,PS2_HTL_PLAYROOM_CAPACITY,
1002,BA_Labor_Mgmt,wf_PS2_Earned_Labor,wf_PS2_Earned_Labor; wf_PS2_HTL_Forecast,legacy,PS2_HTL_VARIABLES,
1003,BA_Labor_Mgmt,wf_PS2_Earned_Labor,,legacy,PS2_NEW_STORE_EARNED,
1004,BA_Labor_Mgmt,wf_PS2_Factors,,legacy,PS2_FACTORS,
1005,BA_Labor_Mgmt,wf_PS2_HTL_Forecast,,legacy,PS2_DAYS_TY_LY,
