database_name,table_name,column_name,data_type,pii_metadata_type,masking_policy,load_ts,updated_ts,load_user,update_user
cust_sensitive,refine_noncar_txn_tender,DRIVER_LICENSE_NBR,StringType,,Star Mask,2023-06-21T18:52:52.412+0000,2023-06-21T18:52:52.412+0000,vravi,vravi
cust_sensitive,refine_noncar_txn_pet_veterinary,VET_ADDR_2,StringType,,Star Mask,2023-06-21T18:53:06.521+0000,2023-06-21T18:53:06.521+0000,vravi,vravi
cust_sensitive,refine_noncar_txn_pet_veterinary,VET_ADDR_3,StringType,,Star Mask,2023-06-21T18:53:09.699+0000,2023-06-21T18:53:09.699+0000,vravi,vravi
cust_sensitive,refine_noncar_txn_pet_veterinary,VET_PHONE,StringType,,Phone Mask,2023-06-21T18:53:19.756+0000,2023-06-21T18:53:19.756+0000,vravi,vravi
cust_sensitive,refine_noncar_txn_pet_veterinary,VET_FAX,StringType,,Phone Mask,2023-06-21T18:53:21.759+0000,2023-06-21T18:53:21.759+0000,vravi,vravi
cust_sensitive,apps_crm_customer,middlename,StringType,null,Star Mask,2022-10-24T16:24:37.230+0000,2022-10-24T16:24:37.230+0000,rarroyo,rarroyo
cust_sensitive,apps_crm_communication,loyaltyphonenumber,StringType,null,Phone Mask,2022-10-24T15:58:08.355+0000,2022-10-24T15:58:08.355+0000,rarroyo,rarroyo
cust_sensitive,apps_crm_communication,servicesphonenumber,StringType,null,Phone Mask,2022-10-24T15:58:08.355+0000,2022-10-24T15:58:08.355+0000,rarroyo,rarroyo
cust_sensitive,apps_crm_communication,addressline1,StringType,null,Star Mask,2022-10-24T15:58:08.355+0000,2022-10-24T15:58:08.355+0000,rarroyo,rarroyo
cust_sensitive,apps_crm_communication,addressline2,StringType,null,Star Mask,2022-10-24T15:58:08.355+0000,2022-10-24T15:58:08.355+0000,rarroyo,rarroyo
cust_sensitive,apps_crm_communication,city,StringType,null,Star Mask,2022-10-24T15:58:08.355+0000,2022-10-24T15:58:08.355+0000,rarroyo,rarroyo
