subj_name,wf_wl_name,session_name,mapping_name,attr_value
BA_Services,wl_sds_pre,s_sds_PSVC_Order_Product_Special_History_Pre,m_sds_PSVC_order_product_special_history_pre,CreatedDate  >= $$DeltaTimeframe
BA_Services,wl_sds_pre,s_sds_psvc_package_product_c_pre,m_sds_psvc_package_product_c_pre,CreatedDate  >= $$DeltaTimeframe OR LastModifiedDate  >= $$DeltaTimeframe
BA_Services,wl_sds_pre,s_sds_psvc_pet_vaccination_c_pre,m_sds_psvc_pet_vaccination_c_pre,CreatedDate  >= $$DeltaTimeframe OR LastModifiedDate  >= $$DeltaTimeframe
BA_Services,wl_sds_pre,s_sds_psvc_product_bundle_configuration_c_pre,m_sds_psvc_product_bundle_configuration_c_pre,CreatedDate  >= $$DeltaTimeframe OR LastModifiedDate  >= $$DeltaTimeframe
BA_Services,wl_sds_pre,s_sds_psvc_product_special_c_pre,m_sds_psvc_product_special_c_pre,CreatedDate  >= $$DeltaTimeframe OR LastModifiedDate  >= $$DeltaTimeframe
BA_Services,wl_sds_pre,s_sds_psvc_redemption_c_pre,m_sds_psvc_redemption_c_pre,CreatedDate  >= $$DeltaTimeframe OR LastModifiedDate  >= $$DeltaTimeframe
BA_Services,wl_sds_pre,s_sds_psvc_schedule_template_c_pre,m_sds_psvc_schedule_template_c_pre,CreatedDate  >= $$DeltaTimeframe OR LastModifiedDate  >= $$DeltaTimeframe
BA_Services,wl_sds_pre,s_sds_psvc_service_contract_c_pre,m_sds_psvc_service_contract_c_pre,CreatedDate  >= $$DeltaTimeframe OR LastModifiedDate  >= $$DeltaTimeframe
BA_Services,wl_sds_pre,s_sds_psvc_service_location_special_c_pre,m_sds_psvc_service_location_special_c_pre,CreatedDate  >= $$DeltaTimeframe OR LastModifiedDate  >= $$DeltaTimeframe
BA_Services,wl_sds_pre,s_sds_psvc_service_text_c_pre,m_sds_psvc_service_text_c_pre,CreatedDate  >= $$DeltaTimeframe OR LastModifiedDate  >= $$DeltaTimeframe
BA_Services,wl_sds_pre,s_sds_psvc_service_type_group_c_pre,m_sds_psvc_service_type_group_c_pre,CreatedDate  >= $$DeltaTimeframe OR LastModifiedDate  >= $$DeltaTimeframe
BA_Services,wl_sds_pre,s_sds_psvc_service_type_group_special_c_pre,m_sds_psvc_service_type_group_special_c_pre,CreatedDate  >= $$DeltaTimeframe  OR LastModifiedDate  >= $$DeltaTimeframe
BA_Services,wl_sds_pre,s_sds_psvc_service_type_product_c_pre,m_sds_psvc_service_type_product_c_pre,CreatedDate  >= $$DeltaTimeframe OR LastModifiedDate  >= $$DeltaTimeframe
BA_Services,wl_sds_pre,s_sds_psvc_special_c_pre,m_sds_psvc_special_c_pre,CreatedDate  >= $$DeltaTimeframe OR LastModifiedDate  >= $$DeltaTimeframe
BA_Services,wl_sds_pre,s_sds_PSVC_Special_History_PRE,m_sds_PSVC_Special_History_PRE,CreatedDate  >= $$DeltaTimeframe
BA_Services,wl_sds_pre,s_sds_record_type_pre,m_sds_record_type_pre,CreatedDate  >= $$DeltaTimeframe OR LastModifiedDate  >= $$DeltaTimeframe
BA_Services,wl_sds_pre,s_sds_resource_absence_history_PRE,m_sds_resource_absence_history_pre,CreatedDate  >= $$DeltaTimeframe
BA_Services,wl_sds_pre,s_sds_resource_absence_pre,m_sds_resource_absence_pre,CreatedDate  >= $$DeltaTimeframe OR LastModifiedDate  >= $$DeltaTimeframe
BA_Services,wl_sds_pre,s_sds_Resource_Preference_History_PRE,m_sds_resource_preference_history_pre,CreatedDate  >= $$DeltaTimeframe
BA_Services,wl_sds_pre,s_sds_resource_preference_pre,m_sds_resource_preference_pre,CreatedDate  >= $$DeltaTimeframe OR LastModifiedDate  >= $$DeltaTimeframe
BA_Services,wl_sds_pre,s_sds_service_appointment_history_pre,m_sds_service_appointment_history_pre,CreatedDate  >=$$DeltaTimeframe
BA_Services,wl_sds_pre,s_sds_service_appointment_pre,m_sds_service_appointment_pre,CreatedDate  >= $$DeltaTimeframe OR LastModifiedDate  >= $$DeltaTimeframe
BA_Services,wl_sds_pre,s_sds_service_contract_component_pre,m_sds_service_contract_component_pre,CreatedDate  >= $$DeltaTimeframe OR LastModifiedDate  >= $$DeltaTimeframe
BA_Services,wl_sds_pre,s_sds_Service_Resource_History_PRE,m_sds_service_resource_history_pre,CreatedDate  >= $$DeltaTimeframe
BA_Services,wl_sds_pre,s_sds_service_resource_pre,m_sds_service_resource_pre,CreatedDate  >= YESTERDAY  OR LastModifiedDate  >= YESTERDAY OR SystemModStamp  >= YESTERDAY
BA_Services,wl_sds_pre,s_sds_Service_Resource_Skill_History_PRE,m_sds_service_resource_skill_history_pre,CreatedDate  >= $$DeltaTimeframe
BA_Services,wl_sds_pre,s_sds_service_resource_skill_pre,m_sds_service_resource_skill_pre,CreatedDate  >= $$DeltaTimeframe OR LastModifiedDate  >= $$DeltaTimeframe
BA_Services,wl_sds_pre,s_sds_Service_Territory_History_PRE,m_sds_service_territory_history_pre,CreatedDate  >= $$DeltaTimeframe
BA_Services,wl_sds_pre,s_sds_service_territory_member_history_PRE,m_sds_service_territory_member_history_pre,CreatedDate  >= $$DeltaTimeframe
BA_Services,wl_sds_pre,s_sds_service_territory_member_pre,m_sds_service_territory_member_pre,CreatedDate  >= $$DeltaTimeframe OR LastModifiedDate  >= $$DeltaTimeframe
BA_Services,wl_sds_pre,s_sds_service_territory_pre,m_sds_service_territory_pre,CreatedDate  >= $$DeltaTimeframe OR LastModifiedDate  >= $$DeltaTimeframe
BA_Services,wl_sds_pre,s_sds_skill_pre,m_sds_skill_pre,CreatedDate  >= $$DeltaTimeframe OR LastModifiedDate  >= $$DeltaTimeframe
BA_Services,wl_sds_pre,s_sds_Skill_Requirement_History_PRE,m_sds_skill_requirement_history_pre,CreatedDate  >= $$DeltaTimeframe
BA_Services,wl_sds_pre,s_sds_skill_requirement_pre,m_sds_skill_requirement_pre,CreatedDate  >= $$DeltaTimeframe OR LastModifiedDate  >= $$DeltaTimeframe
BA_Services,wl_sds_pre,s_sds_timeslot_pre,m_sds_timeslot_pre,CreatedDate  >= $$DeltaTimeframe OR LastModifiedDate  >= $$DeltaTimeframe
BA_Services,wl_sds_pre,s_sds_user_pre,m_sds_user_pre,CreatedDate  >= $$DeltaTimeframe  OR LastModifiedDate  >= $$DeltaTimeframe
BA_Services,wl_sds_pre,s_sds_Work_Order_History_PRE,m_sds_work_order_history_pre,CreatedDate  >= $$DeltaTimeframe
BA_Services,wl_sds_pre,s_sds_Work_Order_Line_Item_History_PRE,m_sds_work_order_line_item_history_pre,CreatedDate  >= $$DeltaTimeframe
BA_Services,wl_sds_pre,s_sds_work_order_line_item_pre,m_sds_work_order_line_item_pre,CreatedDate  >= $$DeltaTimeframe OR LastModifiedDate  >= $$DeltaTimeframe
BA_Services,wl_sds_pre,s_sds_work_order_pre,m_sds_work_order_pre,CreatedDate  >= $$DeltaTimeframe OR LastModifiedDate  >= $$DeltaTimeframe
BA_Services,wl_sds_pre,s_sds_Work_Type_History_PRE,m_sds_work_type_history_pre,CreatedDate  >= $$DeltaTimeframe
BA_Services,wl_sds_pre,s_sds_work_type_pre,m_sds_work_type_pre,CreatedDate  >= YESTERDAY  OR LastModifiedDate  >= YESTERDAY OR SystemModStamp  >= YESTERDAY
